"","Habitat","Season","mean","se","lci","uci","Species"
"1","Bottomland","Fall",6.86076695887605,0.97869379988353,5.01928113264112,8.78432522064083,"Raccoon"
"2","Pine","Fall",2.18766047390814,0.547224872987634,1.11298535424001,3.25103219270038,"Raccoon"
"3","Riparian","Fall",3.39063995879519,0.795109084566733,1.88690866389461,4.95099371792802,"Raccoon"
"4","Wetland","Fall",3.17680561471423,0.86350686951279,1.53586074269392,4.7983970647368,"Raccoon"
"5","Bottomland","Spring",3.91982463268888,0.213461712972572,3.49016408148316,4.32188156740655,"Raccoon"
"6","Pine","Spring",1.8328925888581,0.169392988930038,1.50278140321803,2.15001608048581,"Raccoon"
"7","Riparian","Spring",2.57792095159919,0.233082072158214,2.12501056226002,3.04011797598529,"Raccoon"
"8","Wetland","Spring",1.89806861489136,0.191904887802069,1.52988587000686,2.25636402914717,"Raccoon"
"9","Bottomland","Fall",8.99092792996514,0.86367521130494,7.30176295815533,10.6373922584803,"Opossum"
"10","Pine","Fall",1.18648801379572,0.291712154551502,0.58332253860013,1.75111550808602,"Opossum"
"11","Riparian","Fall",1.22260353560212,0.267824350155525,0.702263823520837,1.7535796397555,"Opossum"
"12","Wetland","Fall",0.658783452760482,0.142513383646081,0.382862774694336,0.932168551788049,"Opossum"
"13","Bottomland","Spring",7.06460190838018,0.779968745229932,5.56794987171732,8.60350648076159,"Opossum"
"14","Pine","Spring",1.05256058995175,0.203859068338126,0.668716908873047,1.4611299494381,"Opossum"
"15","Riparian","Spring",5.57923306318012,0.70158373026737,4.1588960964968,6.8308158720405,"Opossum"
"16","Wetland","Spring",1.78058069270078,0.325073150055146,1.15032164154668,2.4288882248359,"Opossum"
